epoch,batch,loss,accuracy
0,1140,0.5504,0.7191
0,1145,0.5519,0.7160
0,1150,0.5648,0.7000
0,1155,0.5757,0.7027
0,1160,0.5317,0.7410
0,1165,0.5572,0.7141
0,1170,0.5517,0.7199
0,1175,0.5616,0.7195
0,1180,0.5598,0.7176
0,1185,0.5631,0.7070
0,1190,0.5669,0.7074
0,1195,0.5688,0.7105
0,1200,0.5594,0.7129
0,1205,0.5772,0.6969
0,1210,0.5452,0.7250
0,1215,0.5652,0.7078
0,1220,0.5450,0.7262
0,1225,0.5567,0.7152
0,1230,0.5580,0.7098
0,1235,0.5469,0.7203
0,1240,0.5469,0.7242
0,1245,0.5610,0.7195
0,1250,0.5601,0.7152
0,1255,0.5584,0.7188
0,1260,0.5444,0.7246
0,1265,0.5634,0.7109
0,1270,0.5508,0.7188
0,1275,0.5451,0.7238
0,1280,0.5361,0.7328
0,1285,0.5415,0.7238
0,1290,0.5575,0.7066
0,1295,0.5553,0.7090
0,1300,0.5408,0.7270
0,1305,0.5660,0.7129
0,1310,0.5393,0.7383
0,1315,0.5567,0.7199
0,1320,0.5452,0.7320
0,1325,0.5474,0.7250
0,1330,0.5575,0.7070
0,1335,0.5358,0.7250
0,1340,0.5512,0.7184
0,1345,0.5580,0.7102
0,1350,0.5531,0.7316
0,1355,0.5584,0.7207
0,1360,0.5479,0.7211
0,1365,0.5398,0.7188
0,1370,0.5448,0.7160
0,1375,0.5467,0.7367
0,1380,0.5578,0.7164
0,1385,0.5398,0.7285
0,1390,0.5343,0.7352
0,1395,0.5339,0.7336
0,1400,0.5378,0.7266
0,1405,0.5507,0.7254
0,1410,0.5310,0.7445
0,1415,0.5417,0.7352
0,1420,0.5530,0.7219
0,1425,0.5342,0.7270
0,1430,0.5290,0.7340
0,1435,0.5445,0.7293
0,1440,0.5596,0.7141
0,1445,0.5361,0.7324
0,1450,0.5434,0.7297
0,1455,0.5512,0.7320
0,1460,0.5374,0.7266
0,1465,0.5344,0.7301
0,1470,0.5506,0.7219
0,1475,0.5400,0.7332
0,1480,0.5474,0.7289
0,1485,0.5464,0.7250
0,1490,0.5575,0.7184
0,1495,0.5470,0.7184
0,1500,0.5513,0.7141
0,1505,0.5531,0.7141
0,1510,0.5409,0.7281
0,1515,0.5531,0.7168
0,1520,0.5349,0.7398
0,1525,0.5485,0.7160
0,1530,0.5475,0.7273
0,1535,0.5467,0.7191
0,1540,0.5366,0.7281
0,1545,0.5341,0.7352
0,1550,0.5436,0.7207
0,1555,0.5322,0.7316
0,1560,0.5267,0.7383
1,5,0.5256,0.7320
1,10,0.5323,0.7438
1,15,0.5362,0.7355
1,20,0.5225,0.7480
1,25,0.5400,0.7309
1,30,0.5268,0.7395
1,35,0.5467,0.7230
1,40,0.5397,0.7262
1,45,0.5176,0.7406
1,50,0.5201,0.7516
1,55,0.5467,0.7215
1,60,0.5345,0.7363
1,65,0.5406,0.7254
1,70,0.5409,0.7285
1,75,0.5342,0.7309
1,80,0.5265,0.7332
1,85,0.5299,0.7375
1,90,0.5409,0.7285
1,95,0.5317,0.7312
1,100,0.5390,0.7320
1,105,0.5282,0.7328
1,110,0.5377,0.7359
1,115,0.5154,0.7473
1,120,0.5104,0.7578
1,125,0.5282,0.7484
1,130,0.5306,0.7449
1,135,0.5222,0.7465
1,140,0.5385,0.7340
1,145,0.5374,0.7273
1,150,0.5287,0.7395
1,155,0.5336,0.7414
1,160,0.5309,0.7324
1,165,0.5332,0.7355
1,170,0.5315,0.7273
1,175,0.5175,0.7359
1,180,0.5274,0.7410
1,185,0.5315,0.7340
1,190,0.5186,0.7480
1,195,0.5198,0.7367
1,200,0.5423,0.7293
1,205,0.5430,0.7223
1,210,0.5354,0.7301
1,215,0.5271,0.7320
1,220,0.5319,0.7383
1,225,0.5354,0.7395
1,230,0.5288,0.7289
1,235,0.5242,0.7398
1,240,0.5149,0.7473
1,245,0.5438,0.7289
1,250,0.5165,0.7562
1,255,0.5272,0.7363
1,260,0.5151,0.7445
1,265,0.5322,0.7359
1,270,0.5175,0.7406
1,275,0.5263,0.7410
1,280,0.5326,0.7273
1,285,0.5160,0.7457
1,290,0.5251,0.7438
1,295,0.5465,0.7285
1,300,0.5463,0.7266
1,305,0.5286,0.7340
1,310,0.5154,0.7453
1,315,0.5369,0.7250
1,320,0.5254,0.7383
1,325,0.5182,0.7434
1,330,0.5181,0.7473
1,335,0.5283,0.7332
1,340,0.5226,0.7445
1,345,0.5383,0.7273
1,350,0.5336,0.7215
1,355,0.5323,0.7332
1,360,0.5412,0.7320
1,365,0.5184,0.7402
1,370,0.5163,0.7504
1,375,0.5226,0.7469
1,380,0.5302,0.7336
1,385,0.5181,0.7371
1,390,0.5269,0.7309
1,395,0.5274,0.7324
1,400,0.5298,0.7371
1,405,0.5300,0.7340
1,410,0.5143,0.7496
1,415,0.5199,0.7477
1,420,0.5123,0.7430
1,425,0.5317,0.7379
1,430,0.5064,0.7539
1,435,0.5370,0.7344
1,440,0.5298,0.7344
1,445,0.5178,0.7438
1,450,0.5133,0.7445
1,455,0.5111,0.7520
1,460,0.5138,0.7484
1,465,0.5253,0.7430
1,470,0.5233,0.7383
1,475,0.5090,0.7566
1,480,0.5203,0.7516
1,485,0.5291,0.7348
1,490,0.5370,0.7320
1,495,0.5029,0.7590
1,500,0.5158,0.7512
1,505,0.5249,0.7379
1,510,0.5156,0.7430
1,515,0.4994,0.7570
1,520,0.5160,0.7477
1,525,0.5094,0.7559
1,530,0.5190,0.7465
1,535,0.5232,0.7363
1,540,0.4995,0.7652
1,545,0.5201,0.7457
1,550,0.5198,0.7523
1,555,0.5127,0.7453
1,560,0.5186,0.7438
1,565,0.4901,0.7719
1,570,0.5322,0.7352
1,575,0.5276,0.7297
1,580,0.5313,0.7332
1,585,0.5412,0.7324
1,590,0.5217,0.7348
1,595,0.5145,0.7461
1,600,0.5140,0.7457
1,605,0.5264,0.7410
1,610,0.5226,0.7410
1,615,0.5235,0.7371
1,620,0.5051,0.7617
1,625,0.5093,0.7566
1,630,0.5189,0.7418
1,635,0.4972,0.7512
1,640,0.5154,0.7324
1,645,0.5115,0.7508
1,650,0.5139,0.7457
1,655,0.5124,0.7496
1,660,0.5313,0.7324
1,665,0.5286,0.7324
1,670,0.5189,0.7484
1,675,0.5023,0.7457
1,680,0.5178,0.7473
1,685,0.5044,0.7539
1,690,0.5165,0.7504
1,695,0.5213,0.7387
1,700,0.5177,0.7379
1,705,0.5145,0.7465
1,710,0.5278,0.7473
1,715,0.5127,0.7539
1,720,0.5228,0.7434
1,725,0.5207,0.7473
1,730,0.5436,0.7172
1,735,0.5147,0.7414
1,740,0.5129,0.7445
1,745,0.5418,0.7234
1,750,0.5131,0.7500
1,755,0.5111,0.7480
